epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.414,1.73885,3.239,1.78982,0.11526,0.88983,0.57797,0.25901,1.31954,4.25838,1.72546,0.0003625,0.0003625,0.0003625
2,477.125,1.52787,2.40272,1.69802,0.74125,0.41525,0.57521,0.24962,1.4925,3.74498,1.88189,0.000722897,0.000722897,0.000722897
3,721.307,1.55032,2.34365,1.73875,0.58186,0.63559,0.62587,0.26868,1.68674,3.19984,2.23745,0.00106844,0.00106844,0.00106844
4,964.453,1.63469,2.13891,1.75951,0.31817,0.61864,0.40898,0.15482,2.00311,3.73814,2.59134,0.00117575,0.00117575,0.00117575
5,1197.24,1.60885,2.06124,1.77781,0.63268,0.61017,0.62784,0.25479,1.73206,2.99981,2.26557,0.001151,0.001151,0.001151
6,1894.77,1.5664,1.86267,1.72469,0.71957,0.82633,0.79557,0.28821,1.9384,3.61751,2.69363,0.00112625,0.00112625,0.00112625
7,2120.71,1.60393,1.87203,1.7722,0.10093,0.36441,0.1152,0.04106,2.0152,5.52076,2.36666,0.0011015,0.0011015,0.0011015
8,3077.03,1.5461,1.74507,1.70105,0.75819,0.66949,0.79116,0.38137,1.59685,1.90143,1.98236,0.00107675,0.00107675,0.00107675
9,3393.6,1.53016,1.62997,1.72308,0.76538,0.39831,0.53468,0.18456,1.94294,2.59486,2.26784,0.001052,0.001052,0.001052
10,3633.66,1.49022,1.53387,1.65535,0.61963,0.70406,0.74686,0.35449,1.70675,1.6802,2.04353,0.00102725,0.00102725,0.00102725
11,3887.19,1.45307,1.48563,1.65173,0.70275,0.78814,0.77619,0.38802,1.52758,1.48044,1.88819,0.0010025,0.0010025,0.0010025
12,4146.2,1.41358,1.43738,1.60474,0.82775,0.85525,0.84317,0.39291,1.65423,1.34871,2.07789,0.00097775,0.00097775,0.00097775
13,4372.04,1.44268,1.42726,1.61979,0.79229,0.81356,0.85339,0.448,1.44631,1.36321,1.79179,0.000953,0.000953,0.000953
14,4618.09,1.45087,1.40417,1.63631,0.79055,0.86365,0.86849,0.46515,1.44032,1.32467,1.79635,0.00092825,0.00092825,0.00092825
15,4878.07,1.44442,1.38009,1.63944,0.8826,0.91525,0.93197,0.49364,1.42947,1.33509,1.75501,0.0009035,0.0009035,0.0009035
16,5122.61,1.46458,1.43975,1.66205,0.80542,0.81356,0.88222,0.42757,1.56971,1.38402,1.85436,0.00087875,0.00087875,0.00087875
17,5400.54,1.40741,1.361,1.61945,0.88656,0.77119,0.85512,0.41507,1.61947,1.61782,1.95563,0.000854,0.000854,0.000854
18,5635.29,1.40402,1.31143,1.58282,0.88436,0.84258,0.91298,0.47935,1.40989,1.13966,1.80995,0.00082925,0.00082925,0.00082925
19,5882.51,1.35122,1.24078,1.5434,0.86483,0.86755,0.933,0.49484,1.51542,1.16167,1.87406,0.0008045,0.0008045,0.0008045
20,6131.02,1.37991,1.24641,1.61581,0.86764,0.89831,0.9258,0.48178,1.50214,1.15403,1.89005,0.00077975,0.00077975,0.00077975
21,6371.26,1.3592,1.2529,1.58632,0.83892,0.77119,0.87569,0.39753,1.81311,1.22657,2.05787,0.000755,0.000755,0.000755
22,6609.26,1.36692,1.19054,1.56456,0.86149,0.9322,0.93654,0.51822,1.43382,1.06383,1.75783,0.00073025,0.00073025,0.00073025
23,6922.85,1.27335,1.16608,1.5173,0.87194,0.86441,0.90814,0.49744,1.61375,1.03698,1.92514,0.0007055,0.0007055,0.0007055
24,7145.09,1.32041,1.12968,1.5161,0.86143,0.89565,0.90462,0.48832,1.47154,0.95159,1.82987,0.00068075,0.00068075,0.00068075
25,7360.61,1.3097,1.11949,1.52458,0.86274,0.85593,0.89838,0.46812,1.50565,0.99604,1.92673,0.000656,0.000656,0.000656
26,7573.54,1.28746,1.13423,1.52043,0.88427,0.9065,0.92819,0.50024,1.55566,0.98069,1.8868,0.00063125,0.00063125,0.00063125
27,7788.32,1.27224,1.094,1.51875,0.88533,0.91603,0.93681,0.49584,1.50636,0.96669,1.93073,0.0006065,0.0006065,0.0006065
28,8005.41,1.25859,1.10381,1.50315,0.89773,0.88983,0.92521,0.50589,1.53534,0.93868,1.96794,0.00058175,0.00058175,0.00058175
29,8220.54,1.23771,1.07267,1.49676,0.93305,0.89831,0.95022,0.53276,1.46775,0.88822,1.86537,0.000557,0.000557,0.000557
30,8447.75,1.213,0.9909,1.45465,0.90656,0.9044,0.91705,0.4927,1.52236,0.93775,2.01517,0.00053225,0.00053225,0.00053225
31,8668.17,1.18218,1.03272,1.43505,0.89819,0.89831,0.93424,0.51666,1.47155,0.94512,1.87491,0.0005075,0.0005075,0.0005075
32,8887.78,1.22708,1.02785,1.50702,0.88745,0.94068,0.93228,0.51128,1.49321,0.90921,1.9399,0.00048275,0.00048275,0.00048275
33,9097.55,1.17422,0.99497,1.43915,0.93885,0.88983,0.9494,0.5586,1.4547,0.81899,1.82036,0.000458,0.000458,0.000458
34,9316.64,1.16164,0.99452,1.43478,0.89132,0.91525,0.94033,0.50638,1.44946,0.87746,1.90495,0.00043325,0.00043325,0.00043325
35,9524.69,1.15701,0.96396,1.42337,0.92867,0.89831,0.94462,0.52205,1.4228,0.89043,1.7762,0.0004085,0.0004085,0.0004085
36,9738.36,1.16633,0.93042,1.40702,0.91698,0.93612,0.91447,0.52379,1.49203,0.81199,1.98086,0.00038375,0.00038375,0.00038375
37,9954.85,1.11682,0.94684,1.41592,0.90802,0.9322,0.95374,0.55209,1.39569,0.82971,1.78867,0.000359,0.000359,0.000359
38,10167,1.09695,0.90668,1.38791,0.91311,0.9322,0.95051,0.53503,1.42714,0.8669,1.90624,0.00033425,0.00033425,0.00033425
39,10388.5,1.10448,0.89538,1.39594,0.8652,0.91525,0.9296,0.52413,1.45723,0.86569,1.96286,0.0003095,0.0003095,0.0003095
40,10624.9,1.07562,0.89729,1.37035,0.92086,0.94915,0.96661,0.56118,1.37118,0.78988,1.82497,0.00028475,0.00028475,0.00028475
